Month,Air RPM (000s),Rail PM,VMT (billions)
1/1/90,35153577,454115779,163.28
2/1/90,32965187,435086002,153.25
3/1/90,39993913,568289732,178.42
4/1/90,37981886,568101697,178.68
5/1/90,38419672,539628385,188.88
6/1/90,42819023,570694457,189.16
7/1/90,45770315,618571581,195.09
8/1/90,48763670,609210368,196.67
9/1/90,38173223,488444939,178.07
10/1/90,39051877,514253920,182.27
11/1/90,35699216,516429873,171.23
12/1/90,37444088,531619395,168.29
1/1/91,34848290,496467387,157.88
2/1/91,29672427,469504489,153.34
3/1/91,36202993,587905914,179.06
4/1/91,37146602,509488334,179.52
5/1/91,38869421,566342448,191.91
6/1/91,42199760,603845247,193.45
7/1/91,45384965,633450001,198.37
8/1/91,48164550,664013874,204.05
9/1/91,38481957,494557648,183.58
10/1/91,39062110,509037626,188.43
11/1/91,34688141,472359118,169.68
12/1/91,38575165,550795984,172.77
1/1/92,35265807,493541137,167.89
2/1/92,33868884,462084011,160.43
3/1/92,39724539,559205172,184.03
4/1/92,37294373,572122965,186.32
5/1/92,39728367,546043825,196.99
6/1/92,45754460,478204759,197.49
7/1/92,50807813,610774196,206.88
8/1/92,53219046,627359211,205.02
9/1/92,41564915,516516158,191.16
10/1/92,40578092,538313763,195.1
11/1/92,36863415,539769246,177.62
12/1/92,39045016,551397116,181.25
1/1/93,37911556,500349189,171.66
2/1/93,34902869,461280157,162.82
3/1/93,42058882,534476186,187.84
4/1/93,40814097,562429065,188.71
5/1/93,42133943,554039017,205.95
6/1/93,44679864,580500717,199.39
7/1/93,48622037,586861727,209.81
8/1/93,50451675,611839976,209.6
9/1/93,41677832,501353952,193.74
10/1/93,43264475,507702230,197.76
11/1/93,38868799,489299178,182.3
12/1/93,40610043,503041903,186.8
1/1/94,38863562,472917856,169.31
2/1/94,36068535,463567851,166.45
3/1/94,45433842,572167273,196.19
4/1/94,42418163,546898075,195.41
5/1/94,44297210,524008197,206.6
6/1/94,48169096,531971149,207.28
7/1/94,52410979,578257564,214.78
8/1/94,53235052,587229076,215.05
9/1/94,44677623,490032783,200.51
10/1/94,45845403,493619903,202.86
11/1/94,42230318,477594716,190.07
12/1/94,43868116,490779357,193.09
1/1/95,42050940,425207429,183.62
2/1/95,38580784,393268412,172.52
3/1/95,47390145,489360683,202.41
4/1/95,45427499,490903635,199.53
5/1/95,45915722,511120586,213.56
6/1/95,49992583,542693418,212.28
7/1/95,53345749,571259638,217.72
8/1/95,54776466,580982161,219.87
9/1/95,45589237,451385426,204.32
