Ticker,Fundamental Grade,Sentiment Score,Company Name,Market Cap,MTD,QTD,YTD,Last Close
SWBI,91.2,7.7,"Smith & Wesson Brands, In",1163.03,-32.42,-32.42,32.11,23.45
MED,90.2,8.7,"Medifast, Inc.",3311.34,0.89,0.89,45.42,285.51
FBC,90.1,8.4,"Flagstar Bancorp, Inc.",2429.02,8.26,8.26,12.27,45.76
NLS,90,3,Nautilus Inc,451.45,-14.24,-14.24,-20.34,14.45
HOLX,89.5,3.1,"Hologic, Inc.",18712.4,12.47,12.47,3.03,75.04
CODX,89.4,5.4,"Co-Diagnostics, Inc.",283.89,22.55,22.55,8.71,10.11
RGR,88.9,4.2,"Sturm, Ruger & Company, I",1336.88,-17.36,-17.36,14.28,74.36
FLGT,88.8,6.4,"Fulgent Genetics, Inc.",2666.16,0.02,0.02,77.06,92.25
HEAR,88.3,6.8,Turtle Beach Corporation,491.23,-3.2,-3.2,43.39,30.9
DKS,88.3,9,"Dick's Sporting Goods, In",9383.1,3.94,3.94,85.27,104.14
GOOGL,87.9,7.8,Alphabet Inc. Class A,1810610,10.35,10.35,53.74,2694.53
VIVO,87.5,4.6,"Meridian Bioscience, Inc.",896.06,-7.57,-7.57,9.68,20.5
LPX,87.4,8.5,Louisiana-Pacific Corpora,5744.57,-8.04,-8.04,49.15,55.44
PKI,87.3,9.7,"PerkinElmer, Inc.",20097.9,18.02,18.02,26.99,182.23
HIBB,86.9,7.2,Hibbett Inc,1446.69,-1.08,-1.08,91.99,88.66
MC,86.7,8.8,Moelis & Co. Class A,3630.62,4.15,4.15,26.71,59.25
LH,86.6,9.5,Laboratory Corporation of,28770.9,7.36,7.36,45.49,296.15
DECK,86.6,9.5,Deckers Outdoor Corporati,11250.2,6.97,6.97,43.26,410.85
LGIH,86.5,6.9,"LGI Homes, Inc.",4212.42,5.53,5.53,61.46,170.9
WIRE,86.3,7,Encore Wire Corporation,1650.73,3.48,3.48,29.49,78.43
SCCO,85.9,6.8,Southern Copper Corporati,52345.3,2.05,2.05,0.8,65.64
AMD,85.2,7.8,"Advanced Micro Devices, I",125086,13.05,13.05,15.79,106.19
RILY,85.1,3.6,"B. Riley Financial, Inc.",1812.81,-10.52,-10.52,52.78,67.56
EBS,85.1,5.2,Emergent BioSolutions Inc,3494.85,4.62,4.62,-26.45,65.9
BCC,85,6.8,Boise Cascade Co.,2008.23,-12.34,-12.34,7.01,51.15
BKE,84.8,7.6,"Buckle, Inc.",2099.6,-15.42,-15.42,44.11,42.08
WSM,84.7,8,"Williams-Sonoma, Inc.",11805.7,-4.98,-4.98,48.96,151.7
